Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Id,Time,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z
17202,-10.476151,-1.627177,4.948534,-58.099998,6.79,-27.23,79.011177,-136.679535,63.418949,107,2.14,1.11031,1.3472079999999995,-1.3783149999999995,-11.031306,-2.300780999999999,5.637691500000001
17222,-11.49553,-0.894948,4.898283,-48.16,35.279999,-17.290001,83.52877,-137.662704,67.560165,108,2.16,-1.0193790000000007,0.7322290000000001,-0.0502510000000002,-10.9858405,-1.261062499999999,4.923408500000001
17242,-11.450066,-0.184254,4.422094,-34.790001,41.580002,-18.27,82.894135,-138.880096,67.4888,109,2.18,0.0454640000000008,0.7106939999999999,-0.4761889999999997,-11.472798,-0.5396009999999991,4.6601885
17262,-11.299312,0.119645,5.010749,-26.110001,37.099998,-30.799999,83.932899,-141.695602,68.384605,110,2.2,0.1507539999999991,0.303899,0.5886549999999993,-11.374689,-0.0323044999999991,4.7164215
17282,-9.904246,0.581477,4.797781,-30.309999,41.02,-44.029999,83.267929,-140.279114,66.677559,111,2.22,1.395066,0.461832,-0.212968,-10.601779,0.3505610000000009,4.904265
17302,-9.136123,0.665228,4.754708,-24.219999,46.689999,-41.720001,83.217842,-139.170517,69.818314,112,2.24,0.768123000000001,0.083751,-0.0430729999999996,-9.5201845,0.6233525000000009,4.7762445
17322,-9.045193,0.902126,4.601563,-26.32,54.740002,-38.849998,83.963654,-144.049637,71.191391,113,2.26,0.0909300000000001,0.2368979999999999,-0.1531450000000003,-9.090658,0.7836770000000008,4.6781355
17342,-8.820259,0.906912,4.424487,-22.889999,62.369999,-39.41,79.632843,-139.626297,69.20079,114,2.28,0.2249339999999993,0.004786,-0.1770759999999995,-8.932725999999999,0.904519000000001,4.513025
17362,-7.810452,0.878197,3.804724,-17.92,47.810001,-46.27,84.509102,-147.571991,72.385757,115,2.3,1.0098070000000003,-0.028715,-0.6197629999999998,-8.315355499999999,0.8925545000000009,4.1146055
17381,-6.680999,0.868626,3.161031,-12.25,40.599998,-42.77,84.181091,-147.48349,74.926987,116,2.32,1.1294529999999998,-0.0095709999999999,-0.6436930000000003,-7.2457255,0.8734115000000009,3.4828775
17401,-6.336421,0.65805,2.656128,-2.52,44.52,-32.549999,82.211769,-146.349686,75.141167,117,2.34,0.3445780000000003,-0.2105759999999999,-0.5049030000000001,-6.50871,0.763338000000001,2.9085795
17421,-6.092344,0.294328,2.390515,9.94,46.619999,-24.290001,79.724266,-147.248108,75.278938,118,2.36,0.2440769999999998,-0.363722,-0.2656129999999996,-6.214382499999999,0.4761890000000008,2.5233215
17441,-5.620941,-0.184254,2.474267,15.26,43.259998,-18.969999,80.163139,-149.192993,74.090126,119,2.38,0.4714029999999996,-0.4785819999999999,0.083752,-5.8566425,0.0550370000000008,2.432391
17461,-4.816924,-0.490546,2.005257,15.12,38.5,-14.35,82.353951,-145.279404,77.853287,120,2.4,0.804017,-0.306292,-0.4690100000000003,-5.2189325,-0.3373999999999991,2.239762
17481,-4.527382,-0.839911,1.639142,19.18,26.389999,-7.98,78.228539,-146.45195,76.13102,121,2.42,0.2895419999999999,-0.349365,-0.3661149999999997,-4.672153,-0.6652284999999991,1.8221995
17501,-4.079908,-1.500353,1.655892,26.18,20.09,-0.98,78.981277,-148.969101,75.819962,122,2.44,0.4474740000000006,-0.6604420000000001,0.0167499999999998,-4.303645,-1.1701319999999993,1.647517
17521,-4.362271,-2.175153,1.902362,34.09,12.46,6.79,80.068138,-146.214142,77.843079,123,2.46,-0.2823630000000001,-0.6747999999999998,0.2464700000000002,-4.2210895,-1.8377529999999995,1.779127
17541,-4.314413,-2.49341,1.828182,34.93,-4.83,8.19,80.366547,-148.109818,78.626534,124,2.48,0.0478579999999997,-0.318257,-0.0741800000000001,-4.338342,-2.3342814999999995,1.865272
17561,-4.211518,-2.974385,1.986114,41.580002,-23.309999,14.0,78.924408,-145.22168,78.02668,125,2.5,0.1028950000000001,-0.4809749999999999,0.1579319999999999,-4.2629655,-2.7338974999999994,1.907148
17581,-4.362271,-3.457752,2.297192,48.860001,-28.49,27.09,78.854187,-144.956665,77.092819,126,2.52,-0.1507529999999999,-0.4833670000000003,0.3110779999999999,-4.2868945,-3.2160685,2.141653
17601,-5.594619,-3.790366,3.558254,53.830002,-29.75,45.080002,80.601341,-143.138412,76.84269,127,2.54,-1.232348,-0.3326139999999999,1.261062,-4.978445,-3.624059,2.927723
17621,-7.171546,-3.888476,3.948298,44.73,-40.25,51.029999,79.819031,-141.947617,76.638466,128,2.56,-1.5769270000000004,-0.0981099999999997,0.390044,-6.3830825,-3.8394209999999993,3.753276
17641,-7.829595,-3.833439,4.082301,40.810001,-43.049999,50.610001,77.203156,-139.673218,74.535812,129,2.58,-0.6580490000000001,0.055037,0.1340030000000003,-7.5005705,-3.860957499999999,4.0152995
